Dons,Src,Conditions,Avantages
Briser les os*,AG,"Dex 13, Science de la lutte, Science du combat à mains nues, Briser la mâchoire, Coup étourdissant, 9 rangs en Premiers secours",Inflige des dégâts de For ou de Dex avec le Coup étourdissant
Brisesort*,MR,"Perturbateur, Briseur de sorts, nain, guerrier de niveau 10",Détruit un effet magique actif
Briseur d'objets*,MJRA,"Attaque en puissance, demi-orque",Ignorer 5 points de solidité lorsqu'on brise un objet
Briseur d'obstacles*,ISG,"For 17, suivant de Rovagug","Le personnage gagne un bonus de +2 aux tests de Force pour briser les portes, les murs, les digues et autres barrières ainsi qu'aux tests de BMO effectués pour bousculer et renverser des adversaires. Le personnage ignore les 5 premiers points de solidité lorsqu'il inflige des dégâts à des portes, des murs, des digues et autres barrières."
Briseur de sorts*,MJ,"Perturbateur, guerrier de niveau 10","Si les ennemis ratent leur sort, ils provoquent une attaque d'opportunité"
Brute enragée,AG,"For 13, capacité de classe rage de berserker, Attaque en puissance, BBA +12",Ajoute le bonus de Constitution aux jets de dégâts
Brute rageuse,CM,"For 21, ogre",Gain d'un pouvoir de rage et capacité à entrer en rage 1 fois/jour
Brute résiliente,MR,Demi-orque ou orque,La moitié des dégâts subits lors d'un coup critique deviennent non-létaux
Bruyant encouragement de la monture*,MR,"Gobelin, 1 rang en Équitation",Malus à l'attaque pour conférer un bonus à l'attaque et aux dégâts de la monture
Buveur de sang,MR,Dhampir,Gagne de la force en buvant du sang
Cacher son odeur,RSE,"3 rangs en Discrétion, 3 rangs en Survie",Camoufle l'odeur du personnage des monstres
Cadavre de compagnie,CM,"Capacité de classe compagnon animal, goule",Gain d'un compagnon animal mort-vivant
Calomnies corrosives,MR,"1 rang en Bluff, capacité de classe ennemi juré, gnome",Insulte un ennemi juré pour l'énerver
Canal d'énergie,MCA,"Capacité de classe canalisation d'énergie; domaine/bénédiction de l'air, de l'Eau, du Feu, ou de la Terre",Dépense une canalisation d'énergie pour infliger des dégâts d'énergie supplémentaires avec les attaques armées
Canalisateur polyvalent,AM,"Capacité de classe canalisation d'énergie, nécromancienou prêtre d'alignement Neutre (voir texte)",Canalise de l'énergie positive et négative
Canalisation agressive,AG,"Capacité de classe canalisation d'énergie, inquisiteur de niveau 1",Les niveaux d'inquisiteur comptent comme des niveaux de prêtre pour les dégâts de canalisation
Canalisation alignée,MJ,Capacité de classe canalisation d'énergie,Canalise de l'énergie divine pour soigner ou blesser des extérieurs
Canalisation armée*,MCA,"Capacité à lancer un sort du registre de la force, capacité de classe canalisation d'énergie",Le personnage dépense une canalisation d'énergie pour infliger des dégâts de force supplémentaires avec ses attaques armées
Canalisation de croissance,ISG,"Canalisation d'énergie 7d6, suivant d'Érastil",L'énergie positive canalisée peut reproduire les effets d'une croissance végétale (jungle)
Canalisation de force,MR,"Aasimar, canalisation d'énergie 2d6",Pousse ou tire une créature avec une canalisation d'énergie offensive
Canalisation de force supérieure,MR,"Canalisation de force, Science de la canalisation de force, aasimar, canalisation d'énergie 6d6","Comme Canalisation de force, mais affecte toutes les créatures dans un rayon de 9m au lieu d'une seule"
Canalisation de ki,ISG,"Capacité de classe canalisation d’énergie positive, suivant d'Irori",L'énergie positive canalisée pour soigner les vivants peut rendre des points de ki à la place
Canalisation de l'adepte,MR,"Cha 13, capacité à lancer des sorts divins, capacité de classe convocation de familier, NLS 4",Obtient la capacité de classe de canalisation d'énergie
Canalisation de l'empoisonneur,ISG,"Canalisation d'énergie 3d6, suivant de Norgorber","Une fois par jour, l'énergie négative canalisée pour blesser les vivants impose un malus de -4 aux jets de sauvegarde contre les effets de poison"
Canalisation de libération,ISG,"Canalisation d’énergie 7d6, suivant de Cayden Cailéan",L'énergie positive canalisée pour soigner les vivants reproduit les effets d'une liberté de mouvement
Canalisation de peau d'acier,ISG,"Canalisation d'énergie 7d6, suivant de Torag","Une fois par jour, l'énergie positive canalisée pour soigner les vivants accorde une RD/-"
Canalisation du pionnier,ISG,"Canalisation d’énergie 3d6, suivant de Desna",L'énergie positive canalisée pour soigner les vivants peut leur permettre d'ignorer les terrains difficiles
Canalisation éclaircissante,ISG,"Capacité de classe canalisation d’énergie, suivant de Shélyn",L'énergie positive canalisée pour soigner les vivants autorise un nouveau jet de sauvegarde contre les charmes et les coercitions
Canalisation élémentaire,MJ,Capacité de classe canalisation d'énergie,L'énergie canalisée soigne ou blesse les élémentaires
Canalisation fatidique,ISG,"Canalisation d’énergie positive 3d6, suivant de Pharasma","L'énergie positive canalisée pour soigner les vivants permet de relancer une attaque, un test de compétence ou un jet de sauvegarde"
Canalisation prosélyte,ISG,"Canalisation d’énergie 7d6, suivant d'Asmodéus","Une fois par jour, l'énergie négative canalisée pour blesser les vivants soigne les fidèles d'Asmodéus"
Canalisation protectrice,ISG,"Canalisation d'énergie 7d6, suivant d'Iomédae",L'énergie positive canalisée pour soigner les vivants reproduit les effets de protection contre le Mal
Canalisation rapide,AM,"5 rangs en Connaissances (religion), capacité de classe canalisation d'énergie",Accélération de la canalisation d'énergie en dépensant plus d'utilisations
Canalisation séduisante,ISG,"Capacité de classe canalisation d'énergie positive, suivant de Calistria",L'énergie positive canalisée pour soigner les vivants peut rendre plus de points de vie si la cible accepte d'être plus sensible aux charmes du personnage
Canalisation sélective,MJ,"Cha 13, capacité de classe canalisation d'énergie",Le personnage choisit qui sera affecté par sa canalisation d'énergie
Canalisation siphonnante,ISG,"Canalisation d'énergie 3d6, suivant de Ghlaunder",L'énergie négative canalisée pour blesser les vivants accorde des points de vie temporaires au personnage
Canalisation supplémentaire,MJ,Capacité de classe canalisation d'énergie,Deux canalisations d'énergie supplémentaires/jour
Canalisation variable,MTT,"Capacités de classe domaine et canalisation d'énergie, doit vénérer et recevoir des sorts d'une divinité",Choisi entre une canalisation d'énergie classique et une variante à chaque utilisation
Canaliser l'endurance,ISG,"Canalisation d’énergie positive 3d6, suivant de Gozreh","Une fois par jour, l'énergie positive canalisée pour soigner les vivants reproduit les effets d'une endurance aux énergies destructives"
Canaliser la discorde,ISG,"Canalisation d’énergie 8d6, suivant d'un seigneur démon","Une fois par jour, l'énergie négative canalisée pour blesser les vivants reproduit les effets d'un chant de discorde"
Canaliser la haine,ISG,"Canalisation d’énergie 6d6, suivant de Gyronna",Canalise de l'énergie pour utiliser vengeance pour outrage contre une ou plusieurs créatures
Canaliser le vice,ISG,"Canalisation d’énergie négative 4d6, suivant de Gorum",Canalise de l'énergie négative pour accorder la propriété spéciale vicieuses aux armes alliées
Capture,B1,Taille TG ou plus,"Entame une lutte après une attaque de griffes ou de morsure réussie, comme avec la capacité étreinte"
Capture de projectiles*,MJ,"Dex 15, Parade de projectiles",Attrape un projectile/round
Carnage effroyable*,MJRA,"For 15, Attaque en puissance, Concentration malgré la fureur, BBA +11.",Test d'Intimidation gratuit en mettant un adversaire au sol
Cartogramancien,UI,"10 rangs en Connaissances (géographie), capacité à lancer téléportation suprême",Utilise les Connaissances pour préciser la destination d'une téléportation suprême
Casque bosselé*,MR,"Tête dure, BBA +6, nain","Quand le personnage porte un casque, il ajoute +1 à sa CA contre les confirmations de coup critique . Si quelqu’un confirme un critique contre lui, il peut, par une action immédiate , appliquer la moitié des dégâts de l’attaque à son casque au lieu de les appliquer à sa personne. La solidité de l’objet s’applique normalement. Si les dégâts détruisent le casque, les dégâts excédentaires s’appliquent au propriétaire du casque. Si le personnage utilise ce don, il est chancelant jusqu’à la fin de son prochain tour. Il ne peut pas utiliser ce don si son casque est brisé ou si l’attaque ignore les bonus d’armure à la CA .

Astuce martiale ( règles ) ¶ Après que le personnage a utilisé ce don, il peut dépenser 5 points d’endurance pour être fiévreux au lieu de chancelant jusqu’à la fin de son prochain tour. Il ne peut pas utiliser ce pouvoir s’il est immunisé contre l’état préjudiciable fiévreux."
Casque fendu*,MR,"Casque bosselé, Tête dure, BBA +11, nain","Quand le personnage porte un casque, il ajoute +1 à sa CA contre les confirmations de coup critique . Cet avantage se cumule avec le Casque bosselé . Quand le personnage utilise Casque bosselé pour détourner un coup critique, il peut appliquer tous les dégâts du critique au casque avant de les appliquer à sa personne. Si cela lui évite de subir le moindre dégât, tous les effets supplémentaires comme les dons de critique ou le poison sont annulés.

Astuce martiale ( règles ) ¶ Quand le personnage est victime d’un critique potentiel , il peut dépenser jusqu’à 5 points d’endurance pour gagner un bonus supplémentaire à la CA contre le jet de confirmation du critique égal au nombre de points d’endurance dépensés."
Cavalier des bêtes,MR,"Capacité de classe compagnon animal ou monture, personnage de niveau 7, demi-orque ou orque",Obtient les services d'un compagnon monstrueux ou d'une monture
Chaînes cauchemardesques,BD,"Sous-type kyton, 5 DV ou plus",Obtient ou améliore la capacité danse des chaînes des kytons
Chaînes infernales,ISG,"Canalisation d’énergie 5d6, suivant d'un archidiable, d'un duc infernal, d'un malebranche ou d'une reine catin","Une fois par jour, l'énergie négative canalisée pour blesser les vivants reproduit les effets d'une ancre dimensionnelle"
Chair angélique,MR,"Sang angélique, aasimar","-2 aux tests de Déguisement et de Discrétion, mais gain d'avantage en fonction du métal choisi"
Chair corrompue,CM,"Con 15, 6 DV, ogre",Gain du pouvoir de puanteur
Chaleur glorieuse,D&M,"Capacité à lancer des sorts divins, NLS 5, suivant de Sarenraé",Les sorts de feu soignent les alliés proches
Champion expérimenté,AG,"Capacité de classe châtiment du mal, BBA +5",Échange des dégâts de châtiment du mal contre un bonus aux tests de manoeuvres offensives
Chance adaptative,MR,"Individu chanceux, trait racial chance adaptable, personnage de niveau 10, halfelin",Augmente le bonus et le nombre d'utilisation quotidiennes de la chance adaptative
Chance inexplicable,MR,"Chance insolente, humain","1 fois par jour, +8 avant de faire un jet ou +4 après"
Chance insolente,MR,Humain,"1 fois par jour, relance un 1 naturel"
Changement de focalisation efficace,AO,Occultiste de niveau 7,Changement de point de focalisation mentale sans aucune perte 2/jour
Changement rapide de focalisation,AO,"Capacité de classe focalisation mentale, NLS 5",Changement de focalisation mentale plus rapide 1/jour
Chant funeste supérieur,MCA,"Science du chant funeste, capacité à jouer le chant funeste",Les effets du chant funeste s'attardent et peuvent aller jusqu'à paniquer leurs victimes
Chantesort,AM,"Cha 13, capacité de classe représentation bardique, capacité à lancer des sorts de 1er niveau",Mêle les incantations et la représentation bardique
Chanteur de guerre,MJRA,"Cha 13, capacité de classe représentation bardique, demi-orque ou orque",Améliore les représentations sur les champs de bataille et contre les orques
Chanteur de la nature,MJRA,"Cha 13, capacité de classe représentation bardique, elfe ou demi-elfe",Améliore les représentations en forêt et contre les fées
Chanteur des roches,MJRA,"Cha 13, capacité de classe représentation bardique, nain",Améliore les représentations en sous-sol et contre les créatures de la terre
Chantre de guerre,MR,"Gobelin, capacité de classe représentation bardique",Confère un bonus aux jets de sauvegarde avec l'inspiration vaillante
Charge de cavalerie,CSU,"Combat monté, Piétinement, 5 rangs en Équitation",Renverse plusieurs créatures par round
